,Type,Primary wire,width primary,height primary,Secondary wire,width secondary,height secondary,Stack mm,Tongue mm,wl mm,ww mm,Primary Built,Secondary Built,Total Built,Core Loss,Copper Loss,Temperature rise Cu,Temperature rise Fe,Total Cu Cost,Total Fe Cost,Core weight,Conductor weight,Cost,Primary turns,Secondary turns,MTL Primary,MTL Secondary,TPL Primary,TPL Secondary,Length primary,Length secondary,Resistance primary,Resistance secondary,Cu surface area,Core surface area,Weight of Cu kg,Weight of Fe,Primary current,Primary voltage,Primary power,Secondary current,Secondary voltage,Secondary power,Frequency,B max,bobbin,efficiency,Primary Layers,Secondary Layers,Weight Cu Primary,weight Cu Secondary
3085,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,150.0,125.0,180.0,30.0,6.8,7.0,18.8,142.57181250000002,95.48582230623818,53.39874378260699,31.841981508326697,8171.7411600000005,23761.96875,95.047875,8.6018328,31933.70991,44,44,60,63,52,52,2640,2772,0.02464,0.025871999999999996,1260.72,3520.0,8.6018328,95.047875,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.67477735232788,1,1,4.196016,4.4058168
3070,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,150.0,125.0,185.0,25.0,6.8,7.0,18.8,142.57181250000002,95.48582230623818,52.20381979390381,31.954499484293667,8171.7411600000005,23761.96875,95.047875,8.6018328,31933.70991,44,44,60,63,53,53,2640,2772,0.02464,0.025871999999999996,1295.74,3505.0,8.6018328,95.047875,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.67477735232788,1,1,4.196016,4.4058168
1644,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,125.0,150.0,160.0,25.0,6.8,7.0,18.8,142.57181250000002,95.48582230623818,58.854953893416415,30.83251484702341,8171.7411600000005,23761.96875,95.047875,8.6018328,31933.70991,44,44,60,63,46,46,2640,2772,0.02464,0.025871999999999996,1120.64,3660.0,8.6018328,95.047875,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.67477735232788,1,1,4.196016,4.4058168
1659,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,125.0,150.0,155.0,30.0,6.8,7.0,18.8,142.57181250000002,95.48582230623818,60.41880715908858,30.745805490981493,8171.7411600000005,23761.96875,95.047875,8.6018328,31933.70991,44,44,60,63,44,44,2640,2772,0.02464,0.025871999999999996,1085.62,3672.5,8.6018328,95.047875,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.67477735232788,1,1,4.196016,4.4058168
3439,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,155.0,135.0,140.0,30.0,6.8,7.0,18.8,144.86147325,91.03969754253308,61.02871289842128,32.2448736707976,7791.238799999998,24143.578875,96.5743155,8.201303999999999,31934.817675,40,40,63,66,40,40,2520,2640,0.02352,0.02464,1022.56,3522.5,8.201303999999999,96.5743155,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.69535513428303,1,1,4.005288,4.196016
3426,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,155.0,135.0,145.0,25.0,6.8,7.0,18.8,144.86147325,91.03969754253308,59.285160283495486,32.362544800268395,7791.238799999998,24143.578875,96.5743155,8.201303999999999,31934.817675,40,40,63,66,41,41,2520,2640,0.02352,0.02464,1059.08,3507.0,8.201303999999999,96.5743155,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.69535513428303,1,1,4.005288,4.196016
3371,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,155.0,125.0,175.0,25.0,6.8,7.0,18.8,142.92646875,94.83301827347196,53.714341259914484,32.17185301182973,8115.87375,23821.078125,95.2843125,8.543025,31936.951875,43,43,61,64,50,50,2623,2752,0.024481333333333334,0.02568533333333333,1243.2,3485.0,8.543025,95.2843125,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.67762187298075,1,1,4.1689962,4.3740288
3385,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,155.0,125.0,170.0,30.0,6.8,7.0,18.8,142.92646875,94.83301827347196,55.01598249765105,32.05413977520836,8115.87375,23821.078125,95.2843125,8.543025,31936.951875,43,43,61,64,49,49,2623,2752,0.024481333333333334,0.02568533333333333,1207.68,3500.5,8.543025,95.2843125,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.67762187298075,1,1,4.1689962,4.3740288
17,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,100.0,120.0,325.0,25.0,6.8,7.0,18.8,128.01672,123.87397605545054,46.79845522087523,27.795098013702145,10601.218529999998,21336.12,85.34447999999999,11.159177399999999,31937.338529999997,69,70,49,52,96,96,3381,3640,0.031556,0.033973333333333335,1918.8,3726.0,11.159177399999999,85.34447999999999,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.54298301139352,1,1,5.3737614,5.785416
4730,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,185.0,125.0,130.0,25.0,6.8,7.0,18.8,146.96955,87.01701323251417,59.81095114486319,33.16958230065293,7446.974759999999,24494.925,97.9797,7.8389207999999995,31941.89976,36,36,67,70,36,36,2412,2520,0.022511999999999997,0.02352,1001.52,3453.5,7.8389207999999995,97.9797,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.71363229972224,1,1,3.8336327999999997,4.005288
